name,slug, kW,date_of_information,ranking,region
"China","china","2,949,000,000","2023",1,"East and Southeast Asia"
"United States","united-states","1,235,000,000","2023",2,"North America"
"India","india","499,136,000","2023",3,"South Asia"
"Japan","japan","361,617,000","2023",4,"East and Southeast Asia"
"Russia","russia","301,926,000","2023",5,"Central Asia"
"Germany","germany","275,658,000","2023",6,"Europe"
"Brazil","brazil","240,251,000","2023",7,"South America"
"Canada","canada","161,988,000","2023",8,"North America"
"France","france","151,463,000","2023",9,"Europe"
"Korea, South","korea-south","151,139,000","2023",10,"East and Southeast Asia"
"Spain","spain","130,366,000","2023",11,"Europe"
"Italy","italy","128,692,000","2023",12,"Europe"
"Saudi Arabia","saudi-arabia","119,620,000","2023",13,"Middle East"
"United Kingdom","united-kingdom","114,749,000","2023",14,"Europe"
"Australia","australia","108,193,000","2023",15,"Australia and Oceania"
"Turkey (Turkiye)","turkey-turkiye","106,281,000","2023",16,"Middle East"
"Mexico","mexico","105,586,000","2023",17,"North America"
"Iran","iran","86,058,000","2023",18,"Middle East"
"Vietnam","vietnam","85,725,000","2023",19,"East and Southeast Asia"
"Indonesia","indonesia","70,826,000","2023",20,"East and Southeast Asia"
"South Africa","south-africa","65,989,000","2023",21,"Africa"
"Poland","poland","64,806,000","2023",22,"Europe"
"Taiwan","taiwan","64,535,000","2023",23,"East and Southeast Asia"
"Ukraine","ukraine","60,297,000","2023",24,"Europe"
"Netherlands","netherlands","59,982,000","2023",25,"Europe"
"Egypt","egypt","59,680,000","2023",26,"Africa"
"Thailand","thailand","55,971,000","2023",27,"East and Southeast Asia"
"Sweden","sweden","55,307,000","2023",28,"Europe"
"Argentina","argentina","47,631,000","2023",29,"South America"
"United Arab Emirates","united-arab-emirates","44,462,000","2023",30,"Middle East"
"Pakistan","pakistan","43,512,000","2023",31,"South Asia"
"Norway","norway","41,100,000","2023",32,"Europe"
"Chile","chile","39,238,000","2023",33,"South America"
"Malaysia","malaysia","37,220,000","2023",34,"East and Southeast Asia"
"Venezuela","venezuela","33,493,000","2023",35,"South America"
"Austria","austria","33,371,000","2023",36,"Europe"
"Iraq","iraq","31,339,000","2023",37,"Middle East"
"Philippines","philippines","29,174,000","2023",38,"East and Southeast Asia"
"Belgium","belgium","28,248,000","2023",39,"Europe"
"Kazakhstan","kazakhstan","27,624,000","2023",40,"Central Asia"
"Finland","finland","26,782,000","2023",41,"Europe"
"Switzerland","switzerland","26,502,000","2023",42,"Europe"
"Portugal","portugal","25,409,000","2023",43,"Europe"
"Greece","greece","24,169,000","2023",44,"Europe"
"Bangladesh","bangladesh","22,699,000","2023",45,"South Asia"
"Israel","israel","22,612,000","2023",46,"Middle East"
"Algeria","algeria","22,591,000","2023",47,"Africa"
"Czechia","czechia","21,802,000","2023",48,"Europe"
"Colombia","colombia","21,053,000","2023",49,"South America"
