name,slug,value,date_of_information,ranking,region
"China","china","$3,265,000,000,000","2024",1,"East and Southeast Asia"
"Japan","japan","$1,160,000,000,000","2024",2,"East and Southeast Asia"
"Switzerland","switzerland","$822,130,000,000","2024",3,"Europe"
"Russia","russia","$597,217,000,000","2023",4,"Central Asia"
"India","india","$569,544,000,000","2024",5,"South Asia"
"Taiwan","taiwan","$456,700,000,000","2017",6,"East and Southeast Asia"
"Saudi Arabia","saudi-arabia","$436,769,000,000","2024",7,"Middle East"
"Hong Kong","hong-kong","$425,554,000,000","2023",8,"East and Southeast Asia"
"Korea, South","korea-south","$409,457,000,000","2024",9,"East and Southeast Asia"
"Singapore","singapore","$365,494,000,000","2024",10,"East and Southeast Asia"
"Brazil","brazil","$318,857,000,000","2024",11,"South America"
"United Arab Emirates","united-arab-emirates","$231,690,000,000","2024",12,"Middle East"
"United States","united-states","$227,760,000,000","2024",13,"North America"
"Mexico","mexico","$221,944,000,000","2024",14,"North America"
"Thailand","thailand","$217,261,000,000","2024",15,"East and Southeast Asia"
"Israel","israel","$214,544,000,000","2024",16,"Middle East"
"Poland","poland","$185,515,000,000","2024",17,"Europe"
"Indonesia","indonesia","$149,118,000,000","2024",18,"East and Southeast Asia"
"United Kingdom","united-kingdom","$148,569,000,000","2024",19,"Europe"
"Czechia","czechia","$141,988,000,000","2024",20,"Europe"
"Iran","iran","$120,600,000,000","2017",21,"Middle East"
"Canada","canada","$117,551,000,000","2023",22,"North America"
"Malaysia","malaysia","$112,968,000,000","2024",23,"East and Southeast Asia"
"Denmark","denmark","$103,239,000,000","2024",24,"Europe"
"Germany","germany","$96,792,000,000","2024",25,"Europe"
"Philippines","philippines","$95,251,000,000","2024",26,"East and Southeast Asia"
"Vietnam","vietnam","$92,238,000,000","2023",27,"East and Southeast Asia"
"Turkey (Turkiye)","turkey-turkiye","$90,859,000,000","2024",28,"Middle East"
"Iraq","iraq","$87,048,000,000","2024",29,"Middle East"
"Italy","italy","$84,875,000,000","2024",30,"Europe"
"Spain","spain","$84,154,000,000","2024",31,"Europe"
"Norway","norway","$81,242,000,000","2024",32,"Europe"
"Libya","libya","$80,592,000,000","2024",33,"Africa"
